Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,lyrics,lyrics_found
Callaita,Bad Bunny,Un Verano Sin Ti,2019,250533,4,0.608,0.626,2,-4.773,1,0.301,0.597,2.16e-06,0.25,0.246,176.086,76,,False
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,205090,4,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,77,,False
MIA,Bad Bunny,X 100PRE,2018,210367,4,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,75,,False
Safaera,Bad Bunny,YHLQMDLG,2020,295176,4,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,74,,False
Vete,Bad Bunny,Vete,2019,192024,4,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,69,,False
Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020,172127,4,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,71,,False
Fall In Love,Bailey Zimmerman,Religiously. The Album.,2023,232058,4,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,75,,False
Get to Gettin’ Gone,Bailey Zimmerman,Religiously. The Album.,2022,182465,4,0.584,0.68,6,-6.781,1,0.0351,0.285,0.0,0.0901,0.55,146.093,64,,False
Religiously,Bailey Zimmerman,Religiously. The Album.,2023,178723,4,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,77,,False
Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,2022,207540,3,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,79,"We've been swingin’ and missin'
It ain't broke yet, but damn, it needs fixin’
Been a while since your kiss felt like kissin'
It's just different

We've been talkin' 'bout forever since we been together
Somethin' 'bout a ring makes you think we’re better
Off with all this, but we’re caught in-between

A rock and a hard place
Red wine and mistakes
Tears rollin' down your face
When I walked out that door
That’s when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mеnds or it breaks?
Between a rock and a hard place

For thе record (Shit)
Throwin' in the towel takes some effort
So I’d rather ride it out for better weather
Together

Between a rock and a hard place
Red wine and mistakes
Tears rollin' down your face
When I walked out that door
That's when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mends or it breaks?
Between a rock and a hard place

We've been talkin' 'bout forever since we been together
Somethin' 'bout a ring makes you think we're better
Off with all this, but we're caught in-between

A rock and a hard place
Tears rollin' down your face
As I walked out that door
That's when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mends or it breaks?
How much more of this can we take?",True
Small Town Crazy,Bailey Zimmerman,Small Town Crazy,2023,162352,4,0.502,0.877,7,-2.847,1,0.0746,0.0129,0.0,0.244,0.696,170.123,55,"Hey baby, won't you climb on up
And let me show you what's past that pavement
Right there's where I crashed my first truck
And this field is old man Waylons
Catch a good vibe
Feeling alright
Solo cups circled up in the summertime
Got some good friends, take it all in
It's gonna be the time of your life

We're all out here tearing it up on a Saturday night
We're all out here raising 'em up under the moonlit spotlight
Back 40 call it BFE, iced down bullets and a shotgun seat
You might think that we're trouble, baby
We're just small town crazy

Write it down, scratch it off your wishlist
Cash it in like a 1 way ticket
What you need, can't you see
Everything that you been missing

We're all out here tearing it up on a Saturday night
We're all out here raising 'em up under the moonlit spotlight
Back 40 call it BFE, iced down bullets and a shotgun seat
You might think that we're trouble, baby
We're just small town crazy

We're all out here
We're all out here

We're all out here tearing it up on a Saturday night
We're all out here raising 'em up under the moonlit spotlight
Back 40 call it BFE, iced down bullets and a shotgun seat
You might think that we're trouble, baby
We're just small town crazy",True
Trainwreck,Bailey Zimmerman,Leave The Light On,2022,210869,4,0.509,0.803,7,-5.543,1,0.0272,0.0772,0.0,0.133,0.373,138.022,53,"Left your tracks runnin’ through my front door, oh
When you roll by every night at nine
And you're telling me you wanna fix what's broken, oh
Yet you're gone before the mornin' light

You sure know how to shake this house
And leave a man restless
""I love you"" shouldn't leave your mouth
'Cause that's when things get reckless

'Cause when you're on my mind
I drink a little more, yeah, smoke a little more, yeah
It's always one last time
My engine's on fire, burnin' these tires
Yeah, I'm already headed off of these two rails
Flyin' straight back to where we fell
I wanted the fast track, but now I want you back
Since you left, I'm just a train wreck

And all these problems, shoulda hit 'em head on, girl, oh
Instead, we let all our crazy drive
And all these memories are hittin' home harder, oh
Can't keep my eyes between the yellow lines

'Cause when you're on my mind
I drink a little more, yeah, smoke a little more, yeah
It's always one last time
My engine's on fire, burnin' these tires
Yeah, I'm already headed off of these two rails
Flyin' straight back to where we fell
I wanted the fast track, but now I want you back
Since you left, I'm a train wreck

You sure know how to shake this house
Leavin' me restless
""I love you"" keeps runnin' its mouth
Keepin' us reckless

'Cause when you're on my mind
I drink a little more, yeah, smoke a little more, yeah
It's always one last time
My engine's on fire, burnin' these tires
Up and down them county lines
Dodgin' every caution light
On my way back to you
Shoulda hit the brakes, shoulda used my mind
It's too late, I'm pullin' in your drive
Ain't no gettin' 'round it tonight, we're a train wreck",True
Where It Ends,Bailey Zimmerman,Religiously. The Album.,2023,179294,4,0.431,0.837,9,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,80,"This is where it ends
I been down a few broken roads that I'm tryin' to mend
But this is where it ends
And I'm breakin' down
You were lyin' when you said that you were tryin' to work things out
But now I'm broken down

Went to battle for you always
Fought for you on your worst days
Then you told me that you don't love me no more

You're the last thing that I thought I'd lose
All I ever wanted was to be loved by you
I let you back in and I gave you a second chance
And like a jet plane on a clear blue sky
Sun came shinin' down on all your lies
I got too much pridе to let that happen again
So this is wherе it ends

Had to bury all your memories
Couldn't see what everybody sees
Red flags said I shoulda walked out that door

Went to battle for you always
Fought for you on your worst days
Then you told me that you don't love me no more

You're the last thing that I thought I'd lose
All I ever wanted was to be loved by you
I let you back in and I gave you a second chance
And like a jet plane on a clear blue sky
Sun came shinin' down on all your lies
I got too much pride to let that happen again
So this is where it ends, ends, ends
Yeah, this is where it ends

You're the best thing that ever happened to me
You showed me what true love shouldn't be
I found myself the second I gave up on us

You're the last thing that I thought I'd lose
All I ever wanted was to be loved by you
I let you back in and I gave you a second chance (Second chance)
And like a jet plane on a clear blue sky
Sun came shinin' down on all your lies
I got too much pride to let that happen again
So this is where it ends",True
I'm a Mess,Bebe Rexha,Expectations,2018,195519,4,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,70,"Everything's been so messed up here lately
Pretty sure he don't wanna be my baby

Oh, he don't love me, he don't love me
He don't love me, he don't love me, but that's okay
'Cause I love me, yeah, I love me
Yeah, I love me, yeah, I love myself anyway, hey

Everything's gonna be alright
Everything's gonna be okay
It's gonna be a good, good life
That's what my therapist say
Everything's gonna be alright
Everything's gonna be just fine
It's gonna be a good, good life

I'm a mess, I'm a loser
I'm a hater, I'm a user
I'm a mess for your love, it ain't new
I'm obsessed, I'm embarrassed
I don't trust no one around us
I'm a mess for your love, it ain't new

Ooh, ah, ooh, ah, ooh, ah
Ooh, ah, ooh, ah, ooh, ah

Nobody shows up unless I'm paying
Have a drink on me, cheers to the failing

Oh, he don't love me, he don't love me
He don't love me, he don't love me, but that's okay
'Cause I love me, yeah, I love me
Yeah, I love me, yeah, I love myself anyway, hey

Everything's gonna be alright
Everything's gonna be okay
It's gonna be a good, good life
That's what my therapist say
Everything's gonna be alright
Everything's gonna be just fine
It's gonna be a good, good life

I'm a mess, I'm a loser
I'm a hater, I'm a user
I'm a mess for your love, it ain't new
I'm obsessed, I'm embarrassed
I don't trust no one around us
I'm a mess for your love, it ain't new

Ooh, ah, ooh, ah, ooh, ah
Ooh, ah, ooh, ah, ooh, ah

Everything's gonna be alright, alright
Everything's gonna be just fine, just fine
It's gonna be a good, good life

I'm a mess, I'm a loser
I'm a hater, I'm a user
I'm a mess for your love, it ain't new
I'm obsessed (I'm obsessed), I'm embarrassed
I don't trust no one around us
I'm a mess for your love, it ain't new (Yeah)

Ooh, ah, ooh, ah, ooh, ah
Ooh, ah, ooh, ah, ooh, ah",True
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,All Your Fault: Pt. 2,2017,163870,4,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,71,"Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast
Let's enjoy right here where we at
Who knows where this road is supposed to lead?
We got nothing but time
As long as you're right here next to me
Everything's gonna be all right

If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

I don't mean to be so uptight
But my heart's been hurt a couple times
By a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
'Cause I'm tired of the fake love
Show me what you're made of
Boy, make me believe
Whoa, hold up, girl, don't you know you're beautiful?
And it's easy to see

If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

So c'mon, ride with me, ride with me
See where this thing goes
So c'mon, ride with me, ride with me
Baby, if it's meant to be

Maybe we do
Maybe we don't
Maybe we will
Maybe we won't

But if it's meant to be, it'll be, it'll be
Baby, just let it be (Sing it, Bebe)
If it's meant to be, it'll be, it'll be (C'mon)
Baby, just let it be (Let's go)
So won't you ride with me, ride with me?
See where this thing goes (Come for a ride, baby)
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be (Yeah)

If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
Hmm",True
